epoch,loss,val_loss
0,0.2310461755019302,0.013971641659736633
1,0.007177192415110767,0.007830621674656868
2,0.0049891892999100185,0.003843330079689622
3,0.0048756672480764485,0.0033172008115798235
4,0.004342097454549124,0.0045204758644104
0,15585.65606628418,586.330810546875
1,746.9170056152344,623.1268310546875
2,647.8781825764974,409.95379638671875
3,677.767853902181,946.68212890625
4,641.7185592651367,412.5338439941406
5,507.0890179443359,633.3477172851562
6,554.5140075683594,1246.74609375
7,680.3712928263346,292.759765625
8,560.1063395182292,1173.614990234375
9,429.767332611084,235.4591522216797
10,467.5697230021159,212.98037719726562
11,428.1598674519857,263.2612609863281
12,430.6294374593099,502.4826965332031
13,400.0808553568522,622.59619140625
14,360.6213690185547,186.16134643554688
15,466.763945719401,219.1255645751953
16,308.63925542195636,244.24313354492188
17,395.5404035441081,197.88934326171875
18,371.86808873494465,317.35369873046875
19,341.2729365539551,464.08160400390625
20,318.4665399169922,188.07778930664062
21,366.02106994628906,245.40765380859375
22,297.697993367513,306.181884765625
23,329.8945841471354,218.08045959472656
24,304.6654169209798,375.1056823730469
25,262.12919474283854,245.70126342773438
26,406.6145648701986,227.29623413085938
27,244.1151897684733,161.65919494628906
28,274.5413165283203,174.514892578125
29,273.0833405049642,203.505615234375
30,235.2336915588379,152.44480895996094
31,254.98677810668946,152.99444580078125
32,269.7842922465006,154.20401000976562
33,255.6262366739909,145.6038818359375
34,261.39310577392575,152.57244873046875
35,240.05546849568685,151.40435791015625
36,227.74952794392902,152.37789916992188
37,232.00706146240233,156.6804656982422
38,247.7055648803711,149.9546356201172
39,220.9576891072591,157.89764404296875
40,231.22143900553385,160.90060424804688
41,222.90177907307944,135.60433959960938
42,208.61569880167644,149.20510864257812
43,208.10520772298176,146.68931579589844
44,222.5082209269206,145.3907470703125
45,212.1095292154948,187.1889190673828
46,217.81937438964843,139.09912109375
47,191.65575373331706,151.26580810546875
48,202.53516189575194,156.357666015625
49,208.89729400634766,131.1959228515625
50,195.97299555460611,132.73741149902344
51,178.4846462504069,137.99871826171875
52,178.60286727905273,136.42051696777344
53,177.90832626342774,129.10787963867188
54,178.49137440999348,127.21617889404297
55,177.02219482421876,122.93434143066406
56,177.2206846110026,131.78614807128906
57,176.107176361084,135.84934997558594
58,178.35505447387695,135.91278076171875
59,177.21755386352538,132.84603881835938
60,176.79025965372722,123.81254577636719
61,177.80106943766276,128.53050231933594
62,176.17433298746744,139.272216796875
63,175.66750895182292,131.9624481201172
64,176.4252616882324,130.2811279296875
65,176.0325789388021,129.62794494628906
66,176.86837320963542,128.08616638183594
67,175.1976927693685,129.67153930664062
68,175.85521021525065,121.06309509277344
69,175.40071263631185,127.39131164550781
70,175.28550587972006,127.73377227783203
71,173.86133616129558,127.53831481933594
72,174.70415354410807,130.39657592773438
73,174.90386159261067,122.43234252929688
74,173.3968344116211,125.51403045654297
75,173.7663255818685,125.23234558105469
76,173.77469370524088,121.48281860351562
77,173.26741561889648,131.0021209716797
78,173.41486821492512,120.73877716064453
79,174.16905161539714,132.29739379882812
80,174.24711313883464,126.30778503417969
81,172.62086619059244,125.63524627685547
82,173.65616149902343,116.35322570800781
83,173.53879135131837,117.23646545410156
84,171.4878397623698,131.869384765625
85,173.25971684773762,120.7075424194336
86,171.65058553059896,125.38325500488281
87,173.1678731282552,133.38742065429688
88,172.69402247111003,121.92251586914062
89,172.13505315144857,133.95669555664062
90,171.89336919148764,120.82221984863281
91,170.58915384928386,113.306884765625
92,171.02140497843425,127.42646026611328
93,171.36290328979493,129.77239990234375
94,171.26507807413736,125.94388580322266
95,171.81703740437825,124.83245849609375
96,171.75486857096354,124.59317016601562
97,170.75557973225912,124.31529235839844
98,170.9473078409831,118.7009048461914
99,171.03234313964845,120.9329605102539
