epoch,loss,val_loss
0,74338.17024129232,1807.359619140625
1,1478.211655069987,929.20361328125
2,1145.856176554362,3397.553955078125
3,3059.436355183919,1284.2633056640625
4,1151.4544844563802,694.274169921875
5,2648.9544716389973,533.4804077148438
6,2479.2285556030274,602.819091796875
7,1302.3185125732423,892.3624267578125
8,1980.7184051513673,386.4911804199219
9,956.6480568440755,474.38177490234375
10,1886.8352912394205,751.7716064453125
11,2316.314420674642,683.845947265625
12,1063.7359352620442,4155.0693359375
13,1322.6588822428384,1640.3310546875
14,939.1081220499674,331.9302978515625
15,1047.3328399658203,1311.7703857421875
16,1025.5272572835286,244.20877075195312
17,1092.8973622639974,267.2496337890625
18,964.8922505696614,231.6329803466797
19,597.0927517191569,237.67578125
20,834.64349802653,4334.29345703125
21,480.351338857015,412.19573974609375
22,631.5637861633301,234.53916931152344
23,570.4262607828776,281.1907043457031
24,808.3570575459798,210.49981689453125
25,475.0547489420573,2107.76123046875
26,566.1078253173828,239.0670166015625
27,331.7964515177409,185.1629638671875
28,308.0921247863769,1010.5472412109375
29,536.5784251403809,206.69207763671875
30,398.7128670247396,668.895751953125
31,340.6583429972331,206.83319091796875
32,290.4661452738444,167.77316284179688
33,305.28239323933917,189.21829223632812
34,471.9570294189453,159.3214569091797
35,260.0101643371582,165.66311645507812
36,1452.2110971577963,18971.466796875
37,692.9947582499186,195.69717407226562
38,240.80963348388673,183.9463348388672
39,229.69899200439454,162.4938201904297
40,225.97404017130535,170.1763916015625
41,223.1574051920573,188.8670654296875
42,263.21735707600914,173.32691955566406
43,250.93546381632487,159.21453857421875
44,231.0596512858073,165.95156860351562
45,282.30116872151694,153.25711059570312
46,227.38676157633464,155.5906982421875
47,246.95253077189128,176.44906616210938
48,255.52404520670572,152.6952362060547
49,253.62636978149413,162.59042358398438
50,211.2322247314453,152.29551696777344
51,194.3800028991699,146.38290405273438
52,194.47729563395183,138.39273071289062
53,194.2315151977539,139.20303344726562
54,192.47462163289387,141.5906524658203
55,192.8084733581543,135.11337280273438
56,192.1186911010742,140.32659912109375
57,192.52509516398112,152.48504638671875
58,192.58880086263022,148.4671630859375
59,191.63790044148763,143.504638671875
60,190.87724243164064,140.3404083251953
61,189.9438609822591,145.04034423828125
62,189.8897476196289,136.9727325439453
63,189.03192850748698,145.84906005859375
